0,1
-0.6768982,13.531176
17.459093,0.1989557
-22.018301,-9.6216755
18.086464,-0.38952723
15.316542,-2.2868934
0.02437632,15.724716
-4.6113286,24.916822
-20.802046,-13.009405
-21.985134,-15.417969
-1.9461406,12.98035
-19.659435,-14.870189
-4.2747984,22.874882
8.630819,0.8609789
20.27831,-0.7970356
-1.2537572,12.179632
-1.5688435,15.228057
-16.468657,-9.176504
15.059279,0.68091536
-4.162238,19.84493
13.9326725,0.9677958
-1.841805,20.450583
20.770037,-4.635006
-14.859904,-10.384562
13.126452,-2.322299
20.215233,-5.369844
-4.3478756,24.124023
-21.01282,-11.911166
-3.3629255,23.459793
-4.9927645,15.700675
-18.964798,-12.115686
-22.380842,-10.06707
-3.093597,18.844643
-3.6427424,16.435919
8.882622,2.6454031
-26.484165,-13.656549
-16.65412,-8.640323
17.188362,-5.1648855
17.896763,-1.9637481
-21.888498,-14.117744
24.806374,-7.5788198
15.3467045,-0.6276187
-2.0554533,11.203735
14.649919,-1.3565465
-4.8452597,25.20887
19.259033,-5.012925
13.4812,-1.3092657
-26.0255,-15.54271
22.582409,-6.9354506
-1.6494371,11.828117
0.055771988,16.140728
-23.12177,-13.725633
-3.2539115,18.345165
-1.7096477,22.266996
13.20084,1.2971017
-21.314589,-7.62342
24.335606,-5.8205767
-18.906185,-12.506905
-22.117207,-11.7935295
-27.958841,-15.356643
-3.4742298,22.718088
-18.256365,-8.274575
24.005077,-5.8323784
25.111,-7.4925785
-4.6779637,16.4128
-19.446959,-6.8983684
21.906351,-4.1021986
16.18648,-6.21413
-19.36198,-9.882843
-15.859315,-8.323576
16.304893,-3.293597
11.138988,-2.5090413
-5.375366,22.881624
18.889324,-7.285365
-6.5255404,15.060707
15.442422,-3.8092232
-17.381792,-9.10832
16.201225,-6.7163973
-24.448881,-16.075335
-1.932593,17.906343
-7.0002317,15.77697
-7.1576433,16.220978
-3.8665385,21.86883
19.497507,-6.4647846
24.069117,-6.9382463
-18.009727,-6.7240057
20.629354,-2.3451383
-20.634172,-8.066122
-19.203733,-9.1709
0.49218884,12.99675
11.649001,-0.7832892
-2.6179128,20.032871
-21.166483,-9.347666
-21.562548,-11.232637
-3.007995,17.901852
13.0667305,-0.75963056
-2.7449708,20.895254
19.987535,-5.6054416
13.831161,-0.16196248
-1.4519273,9.785554
-2.0993145,12.01762
-0.6037055,17.947872
-4.1036158,15.7113905
11.432014,-1.1028014
-19.424166,-10.371931
25.152122,-5.6777515
11.249043,0.16389525
-24.733467,-11.274909
15.180343,-2.8261223
18.060068,-2.7172048
-20.618284,-10.286248
-23.31497,-9.819456
-17.653648,-11.702884
-4.1165347,24.398518
-2.4252188,22.280226
20.087687,-0.9821454
-15.688881,-10.408014
9.043278,-1.131605
-19.246292,-12.277148
-2.014477,14.101008
-1.0107057,10.127064
-24.457079,-12.626933
20.187462,-0.6659909
-23.36699,-14.366236
-19.919813,-13.536577
-3.4403777,24.297152
-27.263252,-15.876374
-15.710094,-11.262129
11.402402,-1.6839604
16.076921,-2.633011
-21.717503,-12.884617
-20.115843,-13.424977
12.754208,-2.628433
-22.58977,-10.619578
11.844921,-2.6526942
-3.7659447,17.231133
20.077646,-7.330079
21.964233,-7.929275
-0.6267449,18.136147
-15.633638,-9.802018
-4.3726354,14.821361
-25.137821,-15.900825
-18.91019,-6.9568844
20.283997,-4.023856
